手表编号,接收时间,校内天线信号强度,校外天线信号强度,信号强度差值
53,2017-05-12 15:16:14,-86,-120,34
53,2017-05-12 15:16:17,-87,-120,33
53,2017-05-12 15:16:18,-83,-120,37
53,2017-05-12 15:16:19,-84,-120,36
53,2017-05-12 15:16:20,-87,-120,33
53,2017-05-12 15:16:23,-80,-120,40
53,2017-05-12 15:16:24,-83,-120,37
53,2017-05-12 15:16:25,-81,-120,39
53,2017-05-12 15:16:26,-82,-120,38
53,2017-05-12 15:16:31,-82,-120,38
53,2017-05-12 15:16:32,-75,-120,45
53,2017-05-12 15:16:34,-82,-120,38
53,2017-05-12 15:16:35,-84,-120,36
53,2017-05-12 15:16:36,-71,-120,49
53,2017-05-12 15:16:37,-71,-120,49
53,2017-05-12 15:16:48,-72,-120,48
53,2017-05-12 15:16:51,-74,-120,46
53,2017-05-12 15:16:53,-89,-120,31
53,2017-05-12 15:16:54,-88,-120,32
53,2017-05-12 15:17:04,-120,-84,-36
53,2017-05-12 15:17:05,-120,-86,-34