手表编号,接收时间,校内天线信号强度,校外天线信号强度,信号强度差值
2,2017-05-04 15:40:27,-120,-89,-31
2,2017-05-04 15:40:28,-120,-85,-35
2,2017-05-04 15:40:29,-120,-84,-36
2,2017-05-04 15:40:30,-89,-120,31
2,2017-05-04 15:40:31,-120,-86,-34
2,2017-05-04 15:40:32,-120,-80,-40
2,2017-05-04 15:40:33,-120,-88,-32
2,2017-05-04 15:40:34,-120,-80,-40
2,2017-05-04 15:40:37,-120,-80,-40
2,2017-05-04 15:40:38,-86,-86,0
2,2017-05-04 15:40:39,-87,-88,1
2,2017-05-04 15:40:40,-86,-120,34
2,2017-05-04 15:40:42,-86,-120,34
2,2017-05-04 15:40:43,-120,-71,-49
2,2017-05-04 15:40:44,-79,-73,-6
2,2017-05-04 15:40:45,-81,-72,-9
2,2017-05-04 15:40:46,-87,-70,-17
2,2017-05-04 15:40:47,-82,-120,38
2,2017-05-04 15:40:48,-78,-69,-9
2,2017-05-04 15:40:49,-81,-63,-18
2,2017-05-04 15:40:50,-80,-58,-22
2,2017-05-04 15:40:51,-86,-75,-11
2,2017-05-04 15:40:52,-86,-120,34
2,2017-05-04 15:40:53,-87,-65,-22
2,2017-05-04 15:40:54,-120,-66,-54
2,2017-05-04 15:40:56,-78,-71,-7
2,2017-05-04 15:40:57,-80,-75,-5
2,2017-05-04 15:40:58,-84,-80,-4
2,2017-05-04 15:40:59,-75,-120,45
2,2017-05-04 15:41:00,-66,-82,16
2,2017-05-04 15:41:01,-120,-88,-32
2,2017-05-04 15:41:02,-70,-81,11
2,2017-05-04 15:41:03,-78,-120,42
2,2017-05-04 15:41:04,-75,-85,10
2,2017-05-04 15:41:05,-74,-79,5
2,2017-05-04 15:41:06,-120,-82,-38
2,2017-05-04 15:41:07,-81,-82,1
2,2017-05-04 15:41:08,-75,-120,45
2,2017-05-04 15:41:10,-71,-120,49
2,2017-05-04 15:41:11,-65,-83,18
2,2017-05-04 15:41:12,-61,-77,16
2,2017-05-04 15:41:13,-120,-77,-43
2,2017-05-04 15:41:14,-60,-87,27
2,2017-05-04 15:41:15,-78,-86,8
2,2017-05-04 15:41:16,-56,-120,64
2,2017-05-04 15:41:17,-66,-86,20
2,2017-05-04 15:41:18,-74,-85,11
2,2017-05-04 15:41:19,-120,-83,-37
2,2017-05-04 15:41:20,-67,-83,16
2,2017-05-04 15:41:21,-72,-120,48
2,2017-05-04 15:41:22,-68,-81,13
2,2017-05-04 15:41:23,-72,-85,13
2,2017-05-04 15:41:24,-81,-84,3
2,2017-05-04 15:41:25,-120,-89,-31
2,2017-05-04 15:41:26,-73,-120,47
2,2017-05-04 15:41:27,-85,-120,35
2,2017-05-04 15:41:28,-78,-120,42
2,2017-05-04 15:41:29,-82,-120,38
2,2017-05-04 15:41:30,-80,-120,40
2,2017-05-04 15:41:32,-85,-120,35
2,2017-05-04 15:41:33,-82,-120,38
2,2017-05-04 15:41:34,-83,-120,37
2,2017-05-04 15:41:35,-82,-120,38
2,2017-05-04 15:41:36,-86,-120,34
2,2017-05-04 15:41:38,-87,-120,33
2,2017-05-04 15:41:39,-87,-120,33